"x","y","line","algo","new_x","new_y","new_size","new_color","new_year","new_country","old_x","old_y","old_size","old_color","old_year","old_country","changes","multiplicity[1;172]"
9.298346519470215,4.459042072296143,0,"Task1","gdp","life_expect","population","continent","1800","[]","gdp","life_expect","population","continent","1800","[]","None",172
10.247097969055176,0.6646268963813782,0,"Task1","gdp","life_expect","population","continent","1968","[]","gdp","life_expect","population","continent","1800","[]","Changed year from 1800 to 1968",1
10.966727256774902,-0.6730888485908508,0,"Task1","gdp","life_expect","population","continent","2013","[]","gdp","life_expect","population","continent","1968","[]","Changed year from 1968 to 2013",1
10.935762405395508,-0.6333740949630737,0,"Task1","gdp","life_expect","population","continent","2014","[]","gdp","life_expect","population","continent","2013","[]","Changed year from 2013 to 2014",1
10.960221290588379,-0.6718299984931946,0,"Task1","gdp","life_expect","population","continent","2015","[]","gdp","life_expect","population","continent","2014","[]","Changed year from 2014 to 2015",59
1.8036999702453613,7.808073043823242,0,"Task1","gdp","population","population","continent","2015","[]","gdp","life_expect","population","continent","2015","[]","Changed y-axis attribute from life_expect to population",117
2.885110855102539,7.144015789031982,0,"Task1","gdp","population","gdp","continent","2015","[]","gdp","population","population","continent","2015","[]","Changed size attribute from population to gdp",50
2.9494941234588623,7.114086627960205,0,"Task1","gdp","population","gdp","continent","2015","[""Qatar""]","gdp","population","gdp","continent","2015","[]","Added {'Qatar'} to country selection.",91
2.8929076194763184,7.13240909576416,0,"Task1","gdp","population","gdp","continent","2015","[""China""]","gdp","population","gdp","continent","2015","[""Qatar""]","Added {'China'} to country selection and removed {'Qatar'} from country selection",84
2.885110855102539,7.144015789031982,0,"Task1","gdp","population","gdp","continent","2015","[]","gdp","population","gdp","continent","2015","[""China""]","Removed {'China'} from country selection.",50
2.885110855102539,7.144015789031982,0,"Task1","gdp","population","gdp","continent","2015","[]","gdp","population","gdp","continent","2015","[]","",50
2.9494941234588623,7.114086627960205,0,"Task1","gdp","population","gdp","continent","2015","[""Qatar""]","gdp","population","gdp","continent","2015","[]","Added {'Qatar'} to country selection.",91
2.8929076194763184,7.13240909576416,0,"Task1","gdp","population","gdp","continent","2015","[""China""]","gdp","population","gdp","continent","2015","[""Qatar""]","Added {'China'} to country selection and removed {'Qatar'} from country selection",84
9.298346519470215,4.459042072296143,1,"Task1","gdp","life_expect","population","continent","1800","[]","gdp","population","gdp","continent","2015","[""China""]","None",172
2.3167200088500977,1.459346890449524,1,"Task1","gdp","life_expect","population","main_religion","1800","[]","gdp","life_expect","population","continent","1800","[]","Changed color attribute from continent to main_religion",5
1.777645468711853,2.3660531044006348,1,"Task1","child_mortality","life_expect","population","main_religion","1800","[]","gdp","life_expect","population","main_religion","1800","[]","Changed x-axis attribute from gdp to child_mortality",3
-8.108154296875,-1.609009861946106,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[]","child_mortality","life_expect","population","main_religion","1800","[]","Changed size attribute from population to gdp",8
-8.086838722229004,-1.5867053270339966,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Bahamas""]","child_mortality","life_expect","gdp","main_religion","1800","[]","Added {'Bahamas'} to country selection.",2
-8.076377868652344,-1.5762403011322021,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Eritrea""]","child_mortality","life_expect","gdp","main_religion","1800","[""Bahamas""]","Added {'Eritrea'} to country selection and removed {'Bahamas'} from country selection",2
