"x","y","line","algo","new_x","new_y","new_size","new_color","new_year","new_country","old_x","old_y","old_size","old_color","old_year","old_country","changes","multiplicity[1;172]"
-0.18715494344717412,1.2580835719857242,0,"Task1","gdp","life_expect","population","continent","1800","[]","gdp","life_expect","population","continent","1800","[]","None",172
-0.7261515491334728,0.8547793707544599,0,"Task1","gdp","life_expect","population","continent","1968","[]","gdp","life_expect","population","continent","1800","[]","Changed year from 1800 to 1968",1
-0.7716505326432852,1.0489760868734508,0,"Task1","gdp","life_expect","population","continent","2013","[]","gdp","life_expect","population","continent","1968","[]","Changed year from 1968 to 2013",1
-0.7726016390327582,1.0544942938868935,0,"Task1","gdp","life_expect","population","continent","2014","[]","gdp","life_expect","population","continent","2013","[]","Changed year from 2013 to 2014",1
-0.7735419020512091,1.0601018167395542,0,"Task1","gdp","life_expect","population","continent","2015","[]","gdp","life_expect","population","continent","2014","[]","Changed year from 2014 to 2015",59
-0.4321521510123322,2.000787160719238,0,"Task1","gdp","population","population","continent","2015","[]","gdp","life_expect","population","continent","2015","[]","Changed y-axis attribute from life_expect to population",117
-1.3176794569560717,-1.9926324600593206,0,"Task1","gdp","population","gdp","continent","2015","[]","gdp","population","population","continent","2015","[]","Changed size attribute from population to gdp",50
-1.3416689962912163,-2.0978568492928416,0,"Task1","gdp","population","gdp","continent","2015","[""Qatar""]","gdp","population","gdp","continent","2015","[]","Added {'Qatar'} to country selection.",91
-1.3227537920388472,-2.108109846564064,0,"Task1","gdp","population","gdp","continent","2015","[""China""]","gdp","population","gdp","continent","2015","[""Qatar""]","Added {'China'} to country selection and removed {'Qatar'} from country selection",84
-1.3176794569560717,-1.9926324600593206,0,"Task1","gdp","population","gdp","continent","2015","[]","gdp","population","gdp","continent","2015","[""China""]","Removed {'China'} from country selection.",50
-1.3176794569560717,-1.9926324600593206,0,"Task1","gdp","population","gdp","continent","2015","[]","gdp","population","gdp","continent","2015","[]","",50
-1.3416689962912163,-2.0978568492928416,0,"Task1","gdp","population","gdp","continent","2015","[""Qatar""]","gdp","population","gdp","continent","2015","[]","Added {'Qatar'} to country selection.",91
-1.3227537920388472,-2.108109846564064,0,"Task1","gdp","population","gdp","continent","2015","[""China""]","gdp","population","gdp","continent","2015","[""Qatar""]","Added {'China'} to country selection and removed {'Qatar'} from country selection",84
-0.18715494344717412,1.2580835719857242,1,"Task1","gdp","life_expect","population","continent","1800","[]","gdp","population","gdp","continent","2015","[""China""]","None",172
1.3386335269489142,1.6576529702742535,1,"Task1","gdp","life_expect","population","main_religion","1800","[]","gdp","life_expect","population","continent","1800","[]","Changed color attribute from continent to main_religion",5
2.025763776716257,1.4627579582936234,1,"Task1","child_mortality","life_expect","population","main_religion","1800","[]","gdp","life_expect","population","main_religion","1800","[]","Changed x-axis attribute from gdp to child_mortality",3
2.1631831025484827,-1.4278748483852206,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[]","child_mortality","life_expect","population","main_religion","1800","[]","Changed size attribute from population to gdp",8
2.208130079870063,-1.544852840907878,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Bahamas""]","child_mortality","life_expect","gdp","main_religion","1800","[]","Added {'Bahamas'} to country selection.",2
2.212012752870511,-1.5404360695948847,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Eritrea""]","child_mortality","life_expect","gdp","main_religion","1800","[""Bahamas""]","Added {'Eritrea'} to country selection and removed {'Bahamas'} from country selection",2
