"x","y","line","user","task","algo","accuracy","autoCompleteUsed","rankOfPredictionUsed","difficulty","supported","training","isGroundTruth","turnedPrediction","selectedCoordsNorm","multiplicity[1;129]"
0.5550681606093589,-1.762086652081572,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[]",129
0.18207241135934427,-9.737805478286168,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[{'x': 0.0, 'y': 0.6536949045381607}]",55
5.762621633461759,-0.3928037525918885,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[{'x': 0.0, 'y': 0.6536949045381607}, {'x': 0.15520187776326774, 'y': 0.7139396210418845}]",34
2.086093520701888,-7.899404144447999,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[{'x': 0.0, 'y': 0.6536949045381607}, {'x': 0.15520187776326774, 'y': 0.7139396210418845}, {'x': 0.40822791133515474, 'y': 0.6089866037089336}]",1
1.4308808552217476,-1.7147976955978046,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[{'x': 0.0, 'y': 0.6536949045381607}, {'x': 0.15520187776326774, 'y': 0.7139396210418845}, {'x': 0.40822791133515474, 'y': 0.6089866037089336}, {'x': 0.5022514370230959, 'y': 0.6849627309002808}]",1
1.5686045788841745,-2.614283174739435,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[{'x': 0.0, 'y': 0.6536949045381607}, {'x': 0.15520187776326774, 'y': 0.7139396210418845}, {'x': 0.40822791133515474, 'y': 0.6089866037089336}, {'x': 0.5022514370230959, 'y': 0.6849627309002808}, {'x': 0.3771398750744223, 'y': 0.7858880000322345}]",2
7.070225192559012,-6.6759016665675235,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[{'x': 0.0, 'y': 0.6536949045381607}, {'x': 0.15520187776326774, 'y': 0.7139396210418845}, {'x': 0.40822791133515474, 'y': 0.6089866037089336}, {'x': 0.5022514370230959, 'y': 0.6849627309002808}, {'x': 0.3771398750744223, 'y': 0.7858880000322345}, {'x': 0.8800405475247952, 'y': 0.6820293899952854}]",1
2.175024105074409,-3.91701442525684,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[{'x': 0.0, 'y': 0.6536949045381607}, {'x': 0.15520187776326774, 'y': 0.7139396210418845}, {'x': 0.40822791133515474, 'y': 0.6089866037089336}, {'x': 0.5022514370230959, 'y': 0.6849627309002808}, {'x': 0.3771398750744223, 'y': 0.7858880000322345}, {'x': 0.8800405475247952, 'y': 0.6820293899952854}, {'x': 0.5198058825740091, 'y': 1.0}]",2
4.399785158525376,-3.334542042746999,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[{'x': 0.0, 'y': 0.6536949045381607}, {'x': 0.15520187776326774, 'y': 0.7139396210418845}, {'x': 0.40822791133515474, 'y': 0.6089866037089336}, {'x': 0.5022514370230959, 'y': 0.6849627309002808}, {'x': 0.3771398750744223, 'y': 0.7858880000322345}, {'x': 0.8800405475247952, 'y': 0.6820293899952854}, {'x': 0.5198058825740091, 'y': 1.0}, {'x': 0.8710945655697379, 'y': 0.5364605836205196}]",2
3.9343723147193033,-6.232557021842807,0,"5f5bc70414f72236d0612d7a","out_hard_task_1","out_hard_task_1",0.5294117647058824,False,-1,"hard",False,False,False,"N/A","[{'x': 0.0, 'y': 0.6536949045381607}, {'x': 0.15520187776326774, 'y': 0.7139396210418845}, {'x': 0.40822791133515474, 'y': 0.6089866037089336}, {'x': 0.5022514370230959, 'y': 0.6849627309002808}, {'x': 0.3771398750744223, 'y': 0.7858880000322345}, {'x': 0.8800405475247952, 'y': 0.6820293899952854}, {'x': 0.5198058825740091, 'y': 1.0}, {'x': 0.8710945655697379, 'y': 0.5364605836205196}, {'x': 0.9011268346595683, 'y': 0.4352477848037163}]",6
